"","employees","current_salaries","future_salaries","change","got_raise"
"34","Employee 34",40326.8210124224,36575.123333605,-3751.69767881744,FALSE
"35","Employee 35",40169.6039969102,36439.4903404173,-3730.1136564929,FALSE
"36","Employee 36",41744.4494925439,37559.2549215071,-4185.19457103685,FALSE
"37","Employee 37",47435.9763087705,47375.8726730011,-60.1036357693374,FALSE
"38","Employee 38",43173.9302142523,47509.3875417951,4335.45732754283,TRUE
"39","Employee 39",43173.8838879392,41726.0057688691,-1447.87811907008,FALSE
"40","Employee 40",49129.5933374204,54065.2053779922,4935.61204057187,TRUE
"41","Employee 41",41176.3320700265,37900.2248693723,-3276.10720065422,FALSE
"42","Employee 42",40811.2957025878,41037.4809498899,226.185247302055,TRUE
"43","Employee 43",48724.7684807517,57312.2442734893,8587.47579273768,TRUE
"44","Employee 44",46252.0884233527,44751.594188856,-1500.49423449673,FALSE
"45","Employee 45",44718.0017596111,53302.8415206354,8584.83976102434,TRUE
"46","Employee 46",43032.7746924013,52859.950553393,9827.1758609917,TRUE
"47","Employee 47",48973.0342384428,45947.0654919278,-3025.96874651499,FALSE
"48","Employee 48",43566.1194985732,41725.9160079993,-1840.20349057391,FALSE
"49","Employee 49",46629.0693474002,52403.8314889185,5774.76214151829,TRUE
"50","Employee 50",41195.353216026,47543.7112664804,6348.35805045441,TRUE
"51","Employee 51",42034.6438698471,44561.1441961955,2526.50032634847,TRUE
"52","Employee 52",46860.1011205465,54770.6998256035,7910.59870505705,TRUE
"53","Employee 53",45350.1126705669,41678.8419755176,-3671.27069504932,FALSE
"54","Employee 54",47072.5791971199,51966.7671143543,4894.18791723438,TRUE
"55","Employee 55",48363.0201057531,49852.6615579613,1489.64145220816,TRUE
"56","Employee 56",43275.0480365939,53066.3842067588,9791.33617016487,TRUE
"57","Employee 57",47053.017928265,54195.6070449669,7142.58911670186,TRUE
"58","Employee 58",43977.4452964775,40259.1694297735,-3718.27586670406,FALSE
"59","Employee 59",40086.7761508562,48544.7592439596,8457.98309310339,TRUE
"60","Employee 60",41097.3662603647,49353.1149812043,8255.74872083962,TRUE
"61","Employee 61",46382.7534974553,49632.7418996952,3249.98840223998,TRUE
"62","Employee 62",48015.1575966738,45820.8923216444,-2194.26527502947,FALSE
"63","Employee 63",48503.9420844987,46147.292208625,-2356.6498758737,FALSE
"64","Employee 64",42126.8197079189,51915.0692073163,9788.24949939735,TRUE
"65","Employee 65",44718.6000319198,51646.5756727848,6927.97564086504,TRUE
"66","Employee 66",43709.8578410223,52240.7065751031,8530.84873408079,TRUE
"67","Employee 67",47258.9548956603,50357.4944892898,3098.53959362954,TRUE
"68","Employee 68",48266.0032552667,50655.3625769448,2389.35932167806,TRUE
"69","Employee 69",48973.8645614125,51386.7733953521,2412.90883393958,TRUE
"70","Employee 70",41729.2461311445,38004.5929807238,-3724.65315042064,FALSE
"71","Employee 71",43951.611740049,52565.8919999842,8614.28025993519,TRUE
"72","Employee 72",43088.8632754795,44012.5883847941,923.725109314546,TRUE
"73","Employee 73",45672.0636202954,55264.1991118435,9592.13549154811,TRUE
"74","Employee 74",41227.6639649644,37506.473850226,-3721.19011473842,FALSE
"75","Employee 75",47921.2525370531,52796.2538797874,4875.00134273432,TRUE
"76","Employee 76",43689.5230039954,49715.1215816848,6025.59857768938,TRUE
"77","Employee 77",49857.0325155742,49715.2426932007,-141.789822373539,FALSE
"78","Employee 78",47189.3724589609,45755.6798378937,-1433.69262106717,FALSE
"79","Employee 79",43773.6818450503,40515.5636474956,-3258.11819755472,FALSE
"80","Employee 80",47376.7532664351,52156.16553789,4779.41227145493,TRUE
"81","Employee 81",41514.2005844973,43835.0027624983,2320.80217800103,TRUE
"82","Employee 82",43698.1815518811,40167.7970390301,-3530.38451285101,FALSE
"83","Employee 83",44369.4117804989,51049.4092106819,6679.99743018299,TRUE
"84","Employee 84",46523.7385360524,53142.2826531343,6618.54411708191,TRUE
"85","Employee 85",49703.0696505681,50628.8869108539,925.817260285839,TRUE
"86","Employee 86",43792.7218154073,51057.8963637818,7265.17454837449,TRUE
"87","Employee 87",47546.276950743,51930.3885439876,4384.1115932446,TRUE
"88","Employee 88",41069.5759323426,42720.3809900675,1650.80505772494,TRUE
"89","Employee 89",43434.0000292286,44640.3234032914,1206.32337406278,TRUE
"90","Employee 90",42029.0033007041,41939.4834036939,-89.5198970101774,FALSE
"91","Employee 91",45195.2190278098,44985.991140129,-209.227887680754,FALSE
"92","Employee 92",42814.7964691743,39372.8923948947,-3441.90407427959,FALSE
"93","Employee 93",40170.9291781299,39183.3641042467,-987.565073883161,FALSE
"94","Employee 94",45224.545635283,50714.7531583905,5490.20752310753,TRUE
"95","Employee 95",46425.5379023962,50454.9097619019,4029.37185950577,TRUE
"96","Employee 96",44186.4274232648,49471.0903055966,5284.66288233176,TRUE
"97","Employee 97",41870.4787292518,46419.4447104819,4548.96598123014,TRUE
"98","Employee 98",49092.6532191224,47114.5737881307,-1978.07943099178,FALSE
"99","Employee 99",49747.6355382241,54259.3487165868,4511.7131783627,TRUE
"100","Employee 100",42921.744689811,51452.4318207987,8530.68713098764,TRUE
